Tanggal,Produk,Kategori,Harga,Jumlah
2024-02-01,Smartwatch Gen-5,Elektronik,2500000,2
2024-02-02,T-Shirt Cotton,Fashion,150000,5
2024-02-03,Meja Lipat,Perabotan,350000,1
2024-02-04,Serum Vitamin C,Kecantikan,125000,3
2024-02-05,Obat Batuk Syrup,Kesehatan,45000,2
2024-02-06,Keyboard Mechanical,Elektronik,850000,1
2024-02-07,Sepatu Sneakers,Fashion,600000,2
2024-02-08,Lampu Meja LED,Perabotan,180000,4
2024-02-09,Sunscreen Mist,Kecantikan,95000,6
2024-02-10,Masker KN95,Kesehatan,50000,10
2024-02-11,Mouse Gaming,Elektronik,450000,3
2024-02-12,Jaket Bomber,Fashion,350000,1
2024-02-13,Kursi Kantor,Perabotan,1200000,1
2024-02-14,Lip Cream Matte,Kecantikan,85000,4
2024-02-15,Multivitamin Pack,Kesehatan,180000,2
2024-02-16,Monitor 27 Inch,Elektronik,2800000,1
2024-02-17,Celana Cargo,Fashion,275000,2
2024-02-18,Rak Sepatu,Perabotan,220000,2
2024-02-19,Facial Wash Men,Kecantikan,65000,3
2024-02-20,Termometer Digital,Kesehatan,120000,5
2024-02-21,Powerbank 20000mAh,Elektronik,350000,4
2024-02-22,Topi Snapback,Fashion,120000,3
2024-02-23,Blender Jus,Perabotan,450000,2
2024-02-24,Moisturizer Gel,Kecantikan,140000,2
2024-02-25,Hand Sanitizer 1L,Kesehatan,75000,4
2024-02-26,Router Wi-Fi 6,Elektronik,950000,1
2024-02-27,Tas Totebag,Fashion,85000,10
2024-02-28,Lemari Pakaian,Perabotan,1500000,1
2024-03-01,Headset Bluetooth,Elektronik,550000,2
2024-03-02,Kacamata Hitam,Fashion,200000,2
2024-03-03,Kabel HDMI 2m,Elektronik,75000,5
